Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Jamshedpur,27-08-2015,East,1757,0.35,386.54,Jharkhand
OD20,Verma,Beverages,Soft Drinks,Amritsar,27-08-2015,North,692,0.29,159.16,Punjab
OD21,Hafiz,Beverages,Health Drinks,Rourkela,27-08-2015,East,522,0.19,208.8,Odhisa
OD22,Alan,Food Grains,Dals & Pulses,Jodhpur,17-04-2018,West,948,0.13,47.4,Rajasthan
OD23,Haseena,Beverages,Soft Drinks,Surat,26-11-2018,West,707,0.34,148.47,Gujarat
OD24,Alan,Fruits & Veggies,Organic Vegetables,Jamshedpur,16-07-2018,East,969,0.29,77.52,Jharkhand
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Rajkot,25-09-2016,West,1100,0.11,495,Gujarat
OD26,Krithika,Snacks,Chocolates,Jhansi,16-01-2017,East,2022,0.11,202.2,Jharkhand
OD27,Muneer,Snacks,Cookies,Dhanbad,16-01-2017,East,541,0.12,43.28,Jharkhand
OD28,Jackson,Bakery,Biscuits,Bikaner,17-09-2016,West,979,0.22,401.39,Rajasthan
OD29,Veronica,Beverages,Soft Drinks,Surat,17-09-2016,West,1988,0.22,874.72,Gujarat
OD30,Shah,Oil & Masala,Masalas,Amritsar,17-09-2016,North,989,0.17,69.23,Punjab
OD31,Ramesh,Beverages,Soft Drinks,Pune,17-09-2016,West,1845,0.24,166.05,Maharashtra
OD32,Mathew,Snacks,Noodles,Rourkela,17-09-2016,East,1400,0.11,420,Odhisa
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Dhanbad,17-09-2016,East,2163,0.26,670.53,Jharkhand
OD34,Anu,Oil & Masala,Masalas,Meerut,17-09-2016,North,1689,0.34,337.8,Uttar Pradesh
OD35,Anu,Beverages,Health Drinks,Rourkela,19-10-2018,East,809,0.32,80.9,Odhisa
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Jhansi,23-08-2016,East,1265,0.22,569.25,Jharkhand
OD37,James,Beverages,Soft Drinks,Patna,05-07-2015,East,934,0.35,56.04,Bihar
OD38,Willams,Fruits & Veggies,Organic Vegetables,Madurai,27-12-2016,South,1354,0.16,446.82,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chandigarh,27-12-2016,North,1751,0.19,280.16,Punjab
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Kochi,27-12-2016,South,2045,0.23,879.35,Kerela
OD41,Malik,Beverages,Health Drinks,Varanasi,27-12-2016,North,660,0.19,92.4,Uttar Pradesh
OD42,Arutra,Beverages,Soft Drinks,Patna,09-08-2016,East,1868,0.18,616.44,Bihar
OD43,Sharon,Snacks,Cookies,Moradabad,17-07-2017,North,1017,0.25,345.78,Uttar Pradesh
OD44,Mathew,Snacks,Cookies,Pune,19-09-2018,West,2311,0.2,1039.95,Maharashtra
OD45,Amrish,Bakery,Biscuits,Surat,02-07-2017,West,1663,0.17,731.72,Gujarat
OD46,Vince,"Eggs, Meat & Fish",Eggs,Meerut,11-09-2018,North,1420,0.19,355,Uttar Pradesh
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Lucknow,20-10-2015,North,1415,0.31,509.4,Uttar Pradesh
OD48,Mathew,Snacks,Noodles,Chandigarh,20-06-2017,North,1488,0.3,610.08,Punjab
OD49,Ridhesh,Snacks,Noodles,Coimbatore,20-06-2017,South,726,0.18,43.56,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Rajkot,18-04-2016,West,1259,0.15,415.47,Gujarat
OD51,Esther,Beverages,Soft Drinks,Patna,18-04-2016,East,902,0.29,153.34,Bihar
OD52,Shah,Beverages,Soft Drinks,Patna,18-04-2016,East,2306,0.3,553.44,Bihar
OD53,Sudha,Bakery,Cakes,Gorakhpur,18-04-2016,East,1417,0.19,99.19,Uttar Pradesh
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Meerut,22-12-2017,North,627,0.33,181.83,Uttar Pradesh
OD55,Esther,Fruits & Veggies,Organic Fruits,Lucknow,13-10-2018,North,760,0.28,60.8,Uttar Pradesh
OD56,Muneer,Food Grains,Atta & Flour,Patna,17-06-2017,East,2350,0.15,611,Bihar
OD57,Komal,"Eggs, Meat & Fish",Fish,Surat,17-06-2017,West,1179,0.34,271.17,Gujarat
OD58,Veena,Food Grains,Dals & Pulses,Dhanbad,17-06-2017,East,1624,0.35,194.88,Jharkhand
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Dhanbad,17-06-2017,East,1316,0.35,421.12,Jharkhand
OD60,Shree,Beverages,Health Drinks,Kanpur,17-06-2017,North,2121,0.12,678.72,Uttar Pradesh
OD61,Roshan,Oil & Masala,Masalas,Ajmer,17-06-2017,West,1428,0.28,271.32,Rajasthan
OD62,Willams,Snacks,Noodles,Trivandrum,17-06-2017,South,706,0.33,289.46,Kerela
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Pune,24-11-2016,West,921,0.25,184.2,Maharashtra
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Dhanbad,24-11-2016,East,1741,0.31,661.58,Jharkhand
OD65,Willams,"Eggs, Meat & Fish",Eggs,Meerut,24-11-2016,North,607,0.22,200.31,Uttar Pradesh
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Jhansi,24-11-2016,East,1824,0.25,766.08,Jharkhand
OD67,Vinne,Food Grains,Atta & Flour,Meerut,30-04-2016,North,1368,0.11,383.04,Uttar Pradesh
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Coimbatore,31-12-2016,South,1160,0.16,510.4,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Bikaner,23-08-2017,West,1294,0.23,77.64,Rajasthan
OD70,Peer,Oil & Masala,Masalas,Rajkot,21-03-2018,West,1232,0.14,554.4,Gujarat
OD71,Verma,"Eggs, Meat & Fish",Mutton,Amritsar,18-09-2017,North,994,0.31,357.84,Punjab
OD72,Yusuf,Snacks,Noodles,Amritsar,14-09-2018,North,2468,0.18,1011.88,Punjab
OD73,Alan,Snacks,Cookies,Gorakhpur,26-04-2016,East,721,0.27,100.94,Uttar Pradesh
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Rourkela,26-04-2016,East,2375,0.21,475,Odhisa
OD75,Arvind,Beverages,Soft Drinks,Rourkela,26-04-2016,East,1965,0.13,117.9,Odhisa
OD76,Veronica,Beverages,Soft Drinks,Moradabad,28-02-2015,North,1489,0.12,193.57,Uttar Pradesh
OD77,Arvind,Fruits & Veggies,Organic Fruits,Rajkot,22-02-2018,West,1250,0.27,75,Gujarat
OD78,Anu,Snacks,Noodles,Kanpur,29-03-2018,North,1358,0.31,488.88,Uttar Pradesh
OD79,Haseena,Snacks,Cookies,Rourkela,26-11-2015,East,719,0.2,64.71,Odhisa
OD80,Veena,Fruits & Veggies,Organic Fruits,Chandigarh,08-10-2017,North,2303,0.26,621.81,Punjab
OD81,Kumar,Beverages,Health Drinks,Amritsar,19-02-2015,North,2027,0.34,912.15,Punjab
OD82,Amy,Food Grains,Atta & Flour,Moradabad,11-05-2015,North,1739,0.29,765.16,Uttar Pradesh
OD83,Komal,Oil & Masala,Spices,Kochi,19-05-2016,South,990,0.26,227.7,Kerela
OD84,Ravi,Beverages,Soft Drinks,Pune,31-10-2016,West,2354,0.11,682.66,Maharashtra
OD85,Amy,Fruits & Veggies,Organic Fruits,Moradabad,13-11-2018,North,1044,0.1,344.52,Uttar Pradesh
OD86,Willams,Oil & Masala,Spices,Nashik,28-05-2018,West,2129,0.25,659.99,Maharashtra
OD87,Sharon,Food Grains,Rice,Gorakhpur,26-10-2018,East,1759,0.1,615.65,Uttar Pradesh
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Bikaner,26-10-2018,West,1663,0.26,665.2,Rajasthan
OD89,Sheeba,Bakery,Breads & Buns,Trivandrum,09-01-2016,South,2111,0.21,189.99,Kerela
OD90,Krithika,Food Grains,Dals & Pulses,Meerut,17-09-2017,North,1878,0.12,450.72,Uttar Pradesh
OD91,Willams,"Eggs, Meat & Fish",Chicken,Rajkot,17-09-2017,West,769,0.34,46.14,Gujarat
OD92,Roshan,Beverages,Health Drinks,Ajmer,17-09-2017,West,1241,0.14,409.53,Rajasthan
OD93,Ravi,Food Grains,Atta & Flour,Meerut,31-01-2016,North,2128,0.14,383.04,Uttar Pradesh
OD94,Ram,Fruits & Veggies,Fresh Fruits,Varanasi,31-01-2016,North,2257,0.33,270.84,Uttar Pradesh
OD95,Mathew,Snacks,Chocolates,Moradabad,31-01-2016,North,1285,0.28,218.45,Uttar Pradesh
OD96,Veena,"Eggs, Meat & Fish",Fish,Ajmer,11-08-2018,West,1230,0.13,442.8,Rajasthan
OD97,Sudha,Food Grains,Atta & Flour,Rajkot,29-12-2017,West,1856,0.21,723.84,Gujarat
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Dhanbad,17-06-2018,East,545,0.31,125.35,Jharkhand
OD99,Vince,Snacks,Chocolates,Pune,20-02-2015,West,2301,0.28,391.17,Maharashtra
OD100,Krithika,Oil & Masala,Spices,Chandigarh,29-08-2017,North,1475,0.26,531,Punjab
OD101,Adavan,Bakery,Cakes,Kanpur,29-08-2017,North,2118,0.35,910.74,Uttar Pradesh
OD102,Roshan,Beverages,Soft Drinks,Kanpur,29-08-2017,North,1527,0.17,671.88,Uttar Pradesh
OD103,Vinne,Snacks,Chocolates,Lucknow,14-09-2018,North,567,0.18,175.77,Uttar Pradesh
OD104,Amy,Fruits & Veggies,Fresh Fruits,Madurai,13-11-2016,South,969,0.27,184.11,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Jodhpur,13-11-2016,West,2300,0.14,1035,Rajasthan
OD106,Komal,Oil & Masala,Masalas,Amritsar,13-11-2016,North,1575,0.33,78.75,Punjab
OD107,Sundar,Beverages,Health Drinks,Kochi,23-11-2018,South,540,0.12,108,Kerela
OD108,Willams,Snacks,Cookies,Jhansi,23-11-2018,East,536,0.34,176.88,Jharkhand
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Jhansi,23-11-2018,East,556,0.21,155.68,Jharkhand
OD110,Shree,Fruits & Veggies,Fresh Fruits,Kanpur,15-10-2016,North,1179,0.16,271.17,Uttar Pradesh
OD111,Sundar,Food Grains,Dals & Pulses,Varanasi,25-12-2018,North,1487,0.12,505.58,Uttar Pradesh
OD112,Arvind,Bakery,Breads & Buns,Coimbatore,06-02-2017,South,2220,0.1,111,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Nashik,27-05-2018,West,2155,0.3,581.85,Maharashtra
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Surat,25-08-2015,West,1154,0.1,69.24,Gujarat
OD115,Muneer,Snacks,Noodles,Patna,25-08-2015,East,2420,0.11,242,Bihar
OD116,Rumaiza,Snacks,Chocolates,Jodhpur,25-08-2015,West,1305,0.24,287.1,Rajasthan
OD117,Hussain,Fruits & Veggies,Organic Fruits,Moradabad,25-08-2015,North,927,0.2,157.59,Uttar Pradesh
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Bikaner,14-09-2017,West,983,0.11,186.77,Rajasthan
OD119,Akash,Food Grains,Rice,Chandigarh,27-04-2018,North,903,0.1,90.3,Punjab
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Kochi,26-06-2015,South,1235,0.12,74.1,Kerela
OD121,Alan,Fruits & Veggies,Organic Vegetables,Jhansi,14-06-2015,East,1243,0.24,174.02,Jharkhand
OD122,Harish,Bakery,Cakes,Surat,21-10-2015,West,649,0.34,201.19,Gujarat
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Jamshedpur,31-08-2017,East,2354,0.11,188.32,Jharkhand
OD124,Anu,Beverages,Soft Drinks,Kochi,03-12-2017,South,1443,0.27,187.59,Kerela
OD125,Sudeep,Bakery,Breads & Buns,Meerut,26-12-2015,North,975,0.26,390,Uttar Pradesh
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Ajmer,20-09-2015,West,889,0.19,71.12,Rajasthan
OD127,Shah,"Eggs, Meat & Fish",Mutton,Jodhpur,14-08-2017,West,2352,0.17,870.24,Rajasthan
OD128,Harish,Oil & Masala,Spices,Jhansi,30-04-2015,East,1293,0.23,336.18,Jharkhand
OD129,Sharon,Food Grains,Rice,Moradabad,08-10-2016,North,1458,0.29,597.78,Uttar Pradesh
OD130,Peer,Food Grains,Atta & Flour,Kanpur,16-11-2018,North,1801,0.22,126.07,Uttar Pradesh
OD131,Haseena,Snacks,Chocolates,Jamshedpur,27-01-2017,East,1261,0.29,416.13,Jharkhand
OD132,Sundar,Beverages,Soft Drinks,Lucknow,24-09-2017,North,2112,0.28,105.6,Uttar Pradesh
OD133,Ram,"Eggs, Meat & Fish",Fish,Madurai,12-06-2018,South,640,0.24,140.8,Tamil Nadu
OD134,Shah,Bakery,Cakes,Jamshedpur,13-10-2017,East,1658,0.12,315.02,Jharkhand
OD135,Harish,Beverages,Health Drinks,Madurai,13-10-2017,South,2373,0.18,664.44,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Kochi,13-10-2017,South,1430,0.19,514.8,Kerela
OD137,Sundar,Oil & Masala,Spices,Bikaner,13-10-2017,West,1873,0.3,674.28,Rajasthan
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Gorakhpur,13-10-2017,East,867,0.14,329.46,Uttar Pradesh
OD139,Malik,Snacks,Noodles,Gorakhpur,13-10-2017,East,1101,0.19,484.44,Uttar Pradesh
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Rajkot,13-10-2017,West,1088,0.28,424.32,Gujarat
OD141,Veena,Bakery,Biscuits,Trivandrum,11-01-2016,South,866,0.32,381.04,Kerela
OD142,Aditi,Oil & Masala,Masalas,Jhansi,18-09-2018,East,2483,0.14,223.47,Jharkhand
OD143,Surya,Food Grains,Atta & Flour,Amritsar,18-09-2018,North,1335,0.11,293.7,Punjab
OD144,Sharon,"Eggs, Meat & Fish",Fish,Jamshedpur,18-09-2018,East,765,0.24,252.45,Jharkhand
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Jamshedpur,22-12-2018,East,2403,0.2,624.78,Jharkhand
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Kanpur,21-10-2017,North,1551,0.13,573.87,Uttar Pradesh
OD147,Ridhesh,Food Grains,Organic Staples,Gorakhpur,22-10-2015,East,1564,0.27,187.68,Uttar Pradesh
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Jhansi,09-12-2017,East,1125,0.33,292.5,Jharkhand
OD149,Veronica,Beverages,Health Drinks,Jamshedpur,13-04-2017,East,768,0.1,184.32,Jharkhand
OD150,Ravi,"Eggs, Meat & Fish",Fish,Rourkela,04-08-2017,East,1985,0.26,734.45,Odhisa
OD151,Muneer,Food Grains,Rice,Moradabad,09-02-2017,North,2287,0.13,1029.15,Uttar Pradesh
OD152,Jackson,Snacks,Chocolates,Coimbatore,13-03-2017,South,1016,0.34,335.28,Tamil Nadu
OD153,Amy,Snacks,Cookies,Varanasi,13-03-2017,North,852,0.26,76.68,Uttar Pradesh
OD154,Ram,Food Grains,Organic Staples,Madurai,31-05-2016,South,1233,0.28,234.27,Tamil Nadu
OD155,Jonas,Snacks,Noodles,Coimbatore,31-05-2016,South,2236,0.14,626.08,Tamil Nadu
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Bikaner,31-05-2016,West,2188,0.32,809.56,Rajasthan
OD157,Peer,Snacks,Cookies,Kanpur,28-05-2016,North,1114,0.2,456.74,Uttar Pradesh
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Patna,08-10-2017,East,1774,0.15,620.9,Bihar
OD159,Amy,Beverages,Soft Drinks,Jodhpur,20-11-2017,West,2364,0.21,1040.16,Rajasthan
OD160,Amrish,Food Grains,Dals & Pulses,Meerut,20-11-2017,North,1487,0.11,148.7,Uttar Pradesh
OD161,Yadav,Beverages,Soft Drinks,Rajkot,12-07-2018,West,713,0.3,192.51,Gujarat
OD162,Vinne,"Eggs, Meat & Fish",Fish,Amritsar,28-12-2016,North,737,0.2,280.06,Punjab
OD163,Amrish,Snacks,Chocolates,Dhanbad,16-11-2017,East,1004,0.26,341.36,Jharkhand
OD164,Hussain,Snacks,Cookies,Gorakhpur,29-04-2016,East,1516,0.32,121.28,Uttar Pradesh
OD165,Haseena,Food Grains,Atta & Flour,Madurai,19-01-2015,South,1442,0.28,605.64,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Meerut,06-04-2015,North,1690,0.33,422.5,Uttar Pradesh
OD167,Adavan,Snacks,Chocolates,Moradabad,29-02-2016,North,2021,0.13,343.57,Uttar Pradesh
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Rajkot,08-01-2016,West,2340,0.25,491.4,Gujarat
OD169,Krithika,Oil & Masala,Spices,Bikaner,14-08-2016,West,705,0.15,176.25,Rajasthan
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Dhanbad,12-01-2016,East,1215,0.2,60.75,Jharkhand
OD171,Akash,Food Grains,Dals & Pulses,Surat,19-04-2015,West,552,0.25,237.36,Gujarat
OD172,Sabeela,Beverages,Health Drinks,Jhansi,20-05-2017,East,1412,0.11,564.8,Jharkhand
OD173,Surya,Food Grains,Dals & Pulses,Jhansi,14-01-2018,East,791,0.32,150.29,Jharkhand
OD174,Alan,Fruits & Veggies,Organic Vegetables,Bikaner,15-01-2015,West,2476,0.33,420.92,Rajasthan
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Jodhpur,14-09-2015,West,1747,0.27,471.69,Rajasthan
OD176,Shah,Fruits & Veggies,Organic Fruits,Coimbatore,14-09-2015,South,1973,0.15,848.39,Tamil Nadu
OD177,Mathew,Oil & Masala,Spices,Surat,21-04-2018,West,2025,0.24,546.75,Gujarat
OD178,Rumaiza,Snacks,Noodles,Rourkela,21-11-2016,East,1016,0.29,223.52,Odhisa
OD179,Arvind,Fruits & Veggies,Organic Fruits,Dhanbad,21-11-2016,East,689,0.3,55.12,Jharkhand
OD180,Krithika,Food Grains,Atta & Flour,Jodhpur,15-12-2016,West,1322,0.16,343.72,Rajasthan
OD181,Arvind,Snacks,Cookies,Moradabad,27-01-2018,North,1605,0.25,433.35,Uttar Pradesh
OD182,Ravi,Beverages,Health Drinks,Varanasi,02-04-2018,North,1718,0.2,171.8,Uttar Pradesh
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Meerut,19-11-2015,North,2177,0.35,783.72,Uttar Pradesh
OD184,Surya,Food Grains,Organic Staples,Kochi,19-11-2015,South,578,0.19,236.98,Kerela
OD185,Amrish,Food Grains,Dals & Pulses,Nashik,19-11-2015,West,782,0.28,195.5,Maharashtra
OD186,Shah,Snacks,Noodles,Chandigarh,28-11-2017,North,1388,0.35,97.16,Punjab
OD187,Krithika,Bakery,Cakes,Kochi,26-08-2015,South,2264,0.21,792.4,Kerela
OD188,Anu,Beverages,Soft Drinks,Coimbatore,16-07-2017,South,813,0.16,138.21,Tamil Nadu
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Meerut,16-07-2017,North,2015,0.24,564.2,Uttar Pradesh
OD190,Rumaiza,Beverages,Soft Drinks,Rourkela,15-01-2018,East,1433,0.3,472.89,Odhisa
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chandigarh,14-06-2016,North,2093,0.11,334.88,Punjab
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chandigarh,19-02-2017,North,2149,0.17,623.21,Punjab
OD193,Anu,Beverages,Health Drinks,Pune,28-04-2017,West,1972,0.32,414.12,Maharashtra
OD194,Suresh,Oil & Masala,Masalas,Pune,17-03-2016,West,2060,0.25,432.6,Maharashtra
OD195,Peer,"Eggs, Meat & Fish",Eggs,Jhansi,31-10-2016,East,1175,0.12,340.75,Jharkhand
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Gorakhpur,21-03-2015,East,1006,0.25,191.14,Uttar Pradesh
OD197,Sudeep,Bakery,Breads & Buns,Jodhpur,21-03-2015,West,1409,0.16,380.43,Rajasthan
OD198,Verma,Food Grains,Organic Staples,Coimbatore,25-01-2018,South,914,0.34,338.18,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Jhansi,19-09-2018,East,1352,0.3,527.28,Jharkhand
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Dhanbad,22-05-2016,East,682,0.25,170.5,Jharkhand
OD201,James,Food Grains,Organic Staples,Jhansi,24-06-2018,East,1738,0.22,243.32,Jharkhand
OD202,Vidya,Bakery,Cakes,Patna,15-10-2018,East,2421,0.25,484.2,Bihar
OD203,Jackson,Food Grains,Organic Staples,Madurai,10-10-2017,South,2245,0.24,404.1,Tamil Nadu
OD204,Akash,Oil & Masala,Masalas,Rourkela,17-12-2018,East,896,0.12,295.68,Odhisa
OD205,Ram,Oil & Masala,Spices,Ajmer,04-07-2017,West,1033,0.3,185.94,Rajasthan
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Meerut,19-03-2015,North,1998,0.29,139.86,Uttar Pradesh
OD207,Verma,"Eggs, Meat & Fish",Chicken,Trivandrum,13-07-2016,South,1469,0.15,646.36,Kerela
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Madurai,12-01-2018,South,1899,0.25,360.81,Tamil Nadu
OD209,Esther,"Eggs, Meat & Fish",Mutton,Coimbatore,23-07-2017,South,2194,0.2,153.58,Tamil Nadu
OD210,Amrish,Beverages,Soft Drinks,Rourkela,14-09-2018,East,1942,0.29,504.92,Odhisa
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Amritsar,04-11-2017,North,609,0.3,207.06,Punjab
OD212,Verma,"Eggs, Meat & Fish",Chicken,Dhanbad,08-02-2018,East,2353,0.26,423.54,Jharkhand
OD213,Peer,Beverages,Soft Drinks,Patna,02-01-2018,East,1591,0.15,270.47,Bihar
OD214,Arutra,Food Grains,Rice,Surat,13-09-2016,West,1353,0.11,527.67,Gujarat
OD215,Jonas,Beverages,Health Drinks,Varanasi,28-06-2018,North,1020,0.21,81.6,Uttar Pradesh
OD216,Harish,Snacks,Noodles,Madurai,10-05-2015,South,1362,0.31,177.06,Tamil Nadu
OD217,Sundar,Food Grains,Rice,Surat,19-04-2018,West,1733,0.31,433.25,Gujarat
OD218,Suresh,Oil & Masala,Masalas,Jhansi,28-10-2017,East,1949,0.17,97.45,Jharkhand
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Ajmer,28-10-2017,West,2368,0.34,876.16,Rajasthan
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Coimbatore,24-12-2016,South,2110,0.25,485.3,Tamil Nadu
OD221,Ramesh,Food Grains,Dals & Pulses,Meerut,24-12-2016,North,1940,0.2,795.4,Uttar Pradesh
OD222,Willams,"Eggs, Meat & Fish",Fish,Rourkela,24-12-2016,East,1557,0.2,638.37,Odhisa
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Meerut,24-12-2016,North,1443,0.19,274.17,Uttar Pradesh
OD224,Yadav,Beverages,Soft Drinks,Trivandrum,24-12-2016,South,2024,0.11,910.8,Kerela
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Bikaner,24-12-2016,West,2168,0.16,563.68,Rajasthan
OD226,Verma,"Eggs, Meat & Fish",Chicken,Jhansi,03-06-2018,East,621,0.24,173.88,Jharkhand
OD227,Komal,Food Grains,Organic Staples,Meerut,22-03-2018,North,1230,0.17,295.2,Uttar Pradesh
OD228,Harish,Snacks,Cookies,Patna,04-11-2016,East,560,0.34,240.8,Bihar
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Jamshedpur,28-02-2016,East,1286,0.22,282.92,Jharkhand
OD230,Ramesh,Beverages,Health Drinks,Jamshedpur,28-02-2016,East,1242,0.34,149.04,Jharkhand
OD231,Arvind,Bakery,Breads & Buns,Surat,13-09-2015,West,717,0.21,43.02,Gujarat
OD232,Komal,Beverages,Soft Drinks,Varanasi,20-07-2018,North,1480,0.22,444,Uttar Pradesh
OD233,Komal,Food Grains,Dals & Pulses,Patna,23-03-2015,East,826,0.18,247.8,Bihar
OD234,Ramesh,Snacks,Cookies,Rajkot,16-06-2017,West,1846,0.22,276.9,Gujarat
OD235,Mathew,Beverages,Soft Drinks,Bikaner,13-08-2018,West,2045,0.12,552.15,Rajasthan
OD236,Vince,Fruits & Veggies,Organic Fruits,Lucknow,18-09-2017,North,1983,0.17,773.37,Uttar Pradesh
OD237,Shah,Bakery,Cakes,Moradabad,20-09-2017,North,650,0.16,247,Uttar Pradesh
OD238,Ravi,Bakery,Breads & Buns,Madurai,18-06-2016,South,2163,0.31,216.3,Tamil Nadu
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Moradabad,23-02-2018,North,1481,0.15,518.35,Uttar Pradesh
OD240,Arvind,Snacks,Cookies,Dhanbad,10-05-2018,East,2492,0.14,124.6,Jharkhand
OD241,Ramesh,Bakery,Cakes,Lucknow,03-05-2018,North,962,0.33,423.28,Uttar Pradesh
OD242,Malik,Beverages,Health Drinks,Kanpur,11-08-2017,North,1432,0.3,214.8,Uttar Pradesh
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Ajmer,17-01-2018,West,523,0.12,78.45,Rajasthan
OD244,Amy,Oil & Masala,Masalas,Chandigarh,25-05-2018,North,1540,0.11,646.8,Punjab
OD245,Roshan,Bakery,Biscuits,Kanpur,04-11-2018,North,817,0.15,326.8,Uttar Pradesh
OD246,Vinne,"Eggs, Meat & Fish",Fish,Amritsar,12-01-2016,North,2462,0.31,369.3,Punjab
OD247,Sudeep,Fruits & Veggies,Organic Fruits,Trivandrum,15-08-2016,South,962,0.21,288.6,Kerela
